"ID";"CNAE";"DESCRIPCION"
491;"6710";ACTIV. AUXIL.A LA INTERMED. FINANC. EXCP. SEGUROS Y PLANES PENS
492;"6711";ADMINISTRACION DE MERCADOS FINANCIEROS
493;"6712";ACTIVIDADES BURSATILES POR CUENTA DE TERCEROS
494;"6713";OTRAS ACTIVIDADES AUXILIARES A LA INTERMEDIACION FINANCIERA
495;"6720";ACTIVIDADES AUXILIARES DE SEGUROS Y PLANES DE PENSIONES
496;"7010";ACTIVIDADES INMOBILIARIAS POR CUENTA PROPIA
497;"7011";PROMOCION INMOBILIARIA POR CUENTA PROPIA
498;"7012";COMPRAVENTA DE BIENES INMOBILIARIOS POR CUENTA PROPIA
499;"7020";ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA
500;"7030";ACTIVIDADES INMOBILIARIAS POR CUENTA DE TERCEROS
501;"7031";AGENTES DE LA PROPIEDAD INMOBILIARIA
502;"7032";GESTION Y ADMINISTRACION DE LA PROPIEDAD INMOBILIARIA
503;"7110";ALQUILER DE AUTOMOVILES
504;"7120";ALQUILER DE OTROS MEDIOS DE TRANSPORTE
505;"7121";ALQUILER DE OTROS MEDIOS DE TRANSPORTE TERRESTRE
506;"7122";ALQUILER DE MEDIOS DE NAVEGACION
507;"7123";ALQUILER DE MEDIOS DE TRANSPORTE AEREO
508;"7130";ALQUILER DE MAQUINARIA Y EQUIPO
509;"7131";ALQUILER DE MAQUINARIA Y EQUIPO AGRARIO
510;"7132";ALQUILER MAQUINARIA Y EQUIPO PARA CONSTRUC. E INGEN. CIVIL
511;"7133";ALQUILER MAQUINAS Y EQUIPO OFICINA (INCLUIDOS ORDENADORES)
512;"7134";ALQUILER DE OTROS TIPOS DE MAQUINARIA Y EQUIPO
513;"7140";ALQUILER DE EFECTOS PERSONALES Y ENSERES DOMESTICOS
514;"7210";CONSULTA DE EQUIPO INFORMATICO
515;"7220";CONSULTA DE APLICACIONES INFORMATICAS Y SUMIN. PROGRAMAS INF.
516;"7230";PROCESO DE DATOS                                                   
517;"7240";ACTIVIDADES RELACIONADAS CON BASES DE DATOS                        
518;"7250";"MANTENIM. Y REPARAC. DE MAQU. OFICINA; CONTABILID. Y EQUIP. INFO.  "
519;"7260";OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMATICA                  
520;"7310";INVESTIG. Y DESARR. SOBRE CIENCIAS NATURALES Y TECNICAS   
521;"7320";INVESTIG .Y DESARR. SOBRE CIENCIAS SOCIALES Y HUMANIDADES 
522;"7410";"ACTIV. JURIDICAS; DE CONTABILIDAD; AUDITORIA; ASESORIA; EST. MERC."
523;"7411";ACTIVIDADES JURIDICAS
524;"7412";"ACTIV. CONTAB;. TENEDURIA LIBROS; AUDITORIA Y ASES. FISCAL"
525;"7413";ESTUDIO MERCADO Y REALIZACION ENCUESTAS DE OPINION PUBLICA
526;"7414";CONSULTA Y ASESORAMIENTO SOBRE DIRECCION Y GESTION EMPRES.
527;"7415";GESTION DE SOCIEDADES DE CARTERA (HOLDINGS)
528;"7420";SERV.TECNICOS ARQUITECTURA E INGENIERIA Y ACTIV. RELACION.
529;"7430";ENSAYOS Y ANALISIS TECNICOS
530;"7440";PUBLICIDAD
531;"7450";SELECCION Y COLOCACION DE PERSONAL
532;"7460";SERVICIOS DE INVESTIGACION Y SEGURIDAD
533;"7470";ACTIVIDADES INDUSTRIALES DE LIMPIEZA
534;"7480";ACTIVIDADES EMPRESARIALES DIVERSAS
535;"7481";ACTIVIDADES DE FOTOGRAFIA
536;"7482";ACTIVIDADES DE ENVASADO Y EMPAQUETADO POR CUENTA DE TERCEROS
537;"7483";ACTIVIDADES DE SECRETARIA Y TRADUCCION
538;"7484";OTRAS ACTIVIDADES EMPRESARIALES
539;"7510";ADMINISTRACION PUBLICA
540;"7511";ACTIVIDADES GENERALES DE LA ADMINISTRACION PUBLICA
541;"7512";"REGULAC. ACTIV. SANIT.; EDUCAT.; CULT.EXCEP.S.SOC.OBLIGAT."
542;"7513";REGULACION DE LA ACTIVIDAD ECONOMICA
543;"7514";OTRAS ACTIV. AUXILIARES SERV. PARA LA ADMON. PUBL. EN GRAL.
544;"7520";PRESTACION PUBLICA DE SERVICIOS A LA COMUNIDAD EN GENERAL
545;"7521";ASUNTOS EXTERIORES
546;"7522";DEFENSA
547;"7523";JUSTICIA
548;"7524";ORDEN PUBLICO Y SEGURIDAD
549;"7525";ACTIVIDADES DE PROTECCION CIVIL
550;"7530";SEGURIDAD SOCIAL OBLIGATORIA
551;"8010";ENSEÑANZA PRIMARIA
552;"8020";ENSEÑANZA SECUNDARIA
553;"8021";ENSEÑANZA SECUNDARIA DE FORMACION GENERAL
554;"8022";ENSEÑANZA SECUNDARIA DE FORMACION TECNICA Y PROFESIONAL
555;"8030";ENSEÑANZA SUPERIOR
556;"8040";FORMACION PERMANENTE Y OTRAS ACTIVIDADES DE ENSEÑANZA
557;"8041";ENSEÑANZA DE LAS ESCUELAS DE CONDUCCION Y PILOTAJE
558;"8042";ENSEÑANZA PARA ADULTOS Y OTRO EQUIPO DE ENSEÑANZA
559;"8510";ACTIVIDADES SANITARIAS
560;"8511";ACTIVIDADES HOSPITALARIAS
561;"8512";ACTIVIDADES MEDICAS
562;"8513";ACTIVIDADES ODONTOLOGICAS
563;"8514";OTRAS ACTIVIDADES SANITARIAS
564;"8520";ACTIVIDADES VETERINARIAS
565;"8530";ACTIVIDADES DE SERVICIOS SOCIALES
566;"8531";ACTIV. PRESTACION DE SERVICIOS SOCIALES CON ALOJAMIENTO
567;"8532";ACTIV. PRESTACION DE SERVICIOS SOCIALES SIN ALOJAMIENTO
568;"9000";ACTIVIDADES DE SANEAMIENTO PUBLICO
569;"9110";"ACTIV. ORGANIZAC. EMPRESARIALES; PROFESIONALES Y PATRONALES"
570;"9111";ACTIVIDADES DE ORGANIZACIONES EMPRESARIALES Y PATRONALES
571;"9112";ACTIVIDADES DE ORGANIZACIONES PROFESIONALES
572;"9120";ACTIVIDADES SINDICALES
573;"9130";ACTIVIDADES ASOCIATIVAS DIVERSAS
574;"9131";ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS
575;"9132";ACTIVIDADES DE ORGANIZACIONES POLITICAS
576;"9133";OTRAS ACTIVIDADES ASOCIATIVAS
577;"9210";ACTIVIDADES CINEMATOGRAFICAS Y DE VIDEO
578;"9211";PRODUCCION CINEMATOGRAFICA Y DE VIDEO
579;"9212";DISTRIBUCION DE PELICULAS
580;"9213";EXHIBICION DE PELICULAS
581;"9220";ACTIVIDADES DE RADIO Y TELEVISION
582;"9230";OTRAS ACTIVIDADES ARTISTICAS Y DE ESPECTACULOS
583;"9231";CREACION E INTERPRETACION ARTISTICA Y LITERARIA
584;"9232";GESTION DE SALAS DE ESPECTACULOS
585;"9233";ACTIVIDADES DE FERIAS Y PARQUES DE ATRACCIONES
586;"9234";OTRAS ACTIVIDADES DE ESPECTACULOS
587;"9240";ACTIVIDADES DE AGENCIAS DE NOTICIAS
588;"9250";"ACTIV.DE BIBLIOTECAS; ARCHIVOS; MUSEOS Y OTRAS INST.CULTURAL"
589;"9251";ACTIVIDADES DE BIBLIOTECAS Y ARCHIVOS
590;"9252";ACTIV. MUSEOS Y CONSERVACION LUGARES Y EDIFICIOS HISTORICOS
591;"9253";"ACTIV. JARDINES BOTANICOS; ZOOLOGICOS Y PARQUES NACIONALES"
592;"9260";ACTIVIDADES DEPORTIVAS
593;"9261";GESTION DE ESTADIOS Y OTRAS INSTALACIONES DEPORTIVAS
594;"9262";OTRAS ACTIVIDADES DEPORTIVAS
595;"9270";ACTIVIDADES RECREATIVAS DIVERSAS
596;"9271";ACTIVIDADES RELACIONADAS CON LOS JUEGOS DE AZAR Y APUESTAS
597;"9272";OTRAS ACTIVIDADES RECREATIVAS
598;"9300";ACTIVIDADES DIVERSAS DE SERVICIOS PERSONALES
599;"9301";"LAVADO; LIMPIEZA Y TEÑIDO DE PRENDAS TEXTILES Y DE PIEL"
600;"9302";PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA
601;"9303";POMPAS FUNEBRES Y ACTIVIDADES RELACIONADAS CON LAS MISMAS
602;"9304";ACTIVIDADES DE MANTENIMIENTO FISICO CORPORAL
603;"9305";OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
604;"9500";HOGARES QUE EMPLEAN PERSONAL DOMESTICO
605;"9900";ORGANISMOS EXTRATERRITORIALES
606;"9990";OTRAS ACTIVIDADES
607;"9900";OTRAS ACTIVIDADES
608;"4672";COMERCIO AL POR MAYOR DE METALES Y MINERALES METALICOS
1004;"0111";"CULTIVO DE CEREALES (EXCEPTO ARROZ); LEGUMINOSAS Y SEMILLAS OLEAGINOSAS"
1005;"0112";CULTIVO DE ARROZ
1006;"0113";"CULTIVO DE HORTALIZAS; RAICES Y TUBERCULOS"
1;"0110";PRODUCCION AGRICOLA
2;"0111";CULTIVO DE CEREALES Y OTROS CULTIVOS
3;"0112";"CULT. DE HORTALIZAS; ESPECIAL. HORTICULTURA Y PDTOS. VIVERO"
4;"0113";"CULT. FRUTAS; FRUTOS SECOS; ESPECIAS Y CULT. PARA BEBIDAS"
5;"0120";PRODUCCION GANADERA
6;"0121";EXPLOTACION DE GANADO BOVINO Y PRODUCCION DE LECHE CRUDA
