"LOC_ID";"LOC_PRV_COD";"LOC_NOMBRE"
8313;"18";LA CHANA
8332;"10";MORALEJA
8333;"28";LORANCA
8352;"21";"CAMPILLO, EL"
8353;"11";"LINEA DE LA CONCEPCION, LA"
8354;"11";PALMONES
8355;"11";JIMENA DE LA FRONTERA
8356;"11";PUENTE MAYORGA
8357;"11";SAN ROQUE
8358;"29";SAN PEDRO DE ALCANTARA
8372;"14";SANTAELLA
8392;"38";FASNIA
8393;"38";GUIMAR
8394;"06";ESPARRAGOSA
8412;"21";CAÑAVERAL DE LEON
8413;"21";HINOJALES
8432;"41";USO DEL ALCOR
8433;"06";PUEBLA DEL PRIOR
8452;"41";VILLAMANRIQUE DE LA CONDESA
8472;"11";PATERNA DE RIVERA
8473;"11";VALDELAGRANA
8492;"41";ESTEPA
8493;"38";CALETILLA
8512;"13";HORCAJO DE LOS MONTES
8513;"06";BOHONAL DE LOS MONTES
8514;"38";TABAIBA
8515;"38";VALLE DE SAN LORENZO
8516;"38";"MEDANO. EL"
8532;"41";PILAS
8533;"14";VILLALON
8534;"10";ALDEANUEVA DEL CAMINO
8535;"10";GRANJA DE GRANADILLA
8536;"41";CAÑADA ROSAL
8537;"37";BEJAR
8538;"37";VALDELAGEVE
8539;"21";MAZAGON
8552;"41";"LUISIANA. LA"
8553;"13";CIUDAD REAL
8554;"21";CAMPANILLAS
8555;"29";CAMPANILLAS
8556;"29";PUERTO DE LA TORRE
8557;"29";"TARAJAL; EL"
8558;"29";"CASTAÑETA; LA"
8559;"29";ARDALES
8560;"14";NUEVA CARTEYA
8561;"41";CANTILLANA
8572;"18";CHURRIANA DE LA VEGA
8573;"18";FUENTE VAQUEROS
8592;"18";GUADIX
8593;"28";TORREGON DE BLASCO
8594;"28";TORREJON DE BLASCO (MAL)
8595;"38";SANTIAGO DEL TEIDE
8596;"38";BUENAVISTA DEL NORTE
8612;"18";OGIJARES
8613;"18";ALCUDIA DE GUADIX
8632;"23";JAEN
8652;"10";MUELA
8672;"10";LA MEJOSTILLA
8673;"21";SANTA OLALLA DEL CALA
8674;"21";SANTA OLALLA DEL CALA
8675;"41";TORRE DE LA REINA
8692;"10";MUELAS DE GRANADILLA
8693;"10";GRIMALDO
8694;"10";PRADOCHANO
8712;"14";OCHAVILLO DEL RIO
8713;"14";CAÑADA DEL RABADAN
8714;"10";TORREMENGA DE LA VERA
8715;"10";VALDEIÑIGOS
8732;"38";BOCACANGREJO (EL ROSARIO)
8752;"41";ALCOSA
8772;"38";"CALETILLAS; LAS"
8792;"41";EL VISO DEL ALCOR
8812;"10";PINOFRANQUEADO
8813;"10";HERNAN PEREZ
8814;"01";NANCLARES DE LA OCA
8815;"28";LOMINCHAR
8816;"47";BOECILLO
8817;"02";HELLEN
8818;"40";"ANGELES DE SAN RAFAEL; LOS"
8819;"40";SEGOVIA
8820;"19";HORCHE
8821;"37";SALAMANCA
8822;"49";BENAVENTE
8823;"34";PALENCIA
8824;"19";JUNQUERA DE HENARES
8825;"19";YUNQUERA DE HENARES
8826;"21";TRIGUEROS
8827;"38";SANTA URSULA
8832;"02";HELLIN
8833;"29";ALORA
8834;"14";MONTILLA
8835;"45";BUENASBODAS
8836;"03";CREVILLENT
8852;"41";CASARICHE
8853;"02";ELCHE DE LA SIERRA
8872;"10";JERTE
8873;"28";CERCEDA
8874;"19";AZUQUECA DE HENARES
8875;"46";SUECA
8876;"01";OUDATEGUI
8877;"32";OURENSE
8878;"45";CHOZAS DE CANALES
8892;"38";"VICTORIA DE ACENTEJO; LA"
8893;"33";OVIEDO
8894;"37";PALOMARES DE BEJAR
8895;"10";SERRADILLA
8912;"10";"TORNO; EL"
8913;"47";VALLADOLID
8914;"06";VILLAGARCIA DE LA TORRE
8915;"45";OCAÑA
8916;"38";"LOMO BLANCO (GUANCHA; LA)"
8917;"04";RETAMAR
8918;"04";VERA
8932;"23";JODAR
8952;"23";TORREPEROGIL
8953;"23";BEDMAR
8954;"23";MARTOS
8955;"41";VILLANUEVA DEL RIO Y MINAS
8956;"41";HUEVAR DE ALJARAFE
8957;"10";HUELAGA
8972;"28";ZARZALEZO
8973;"28";VILLALBILLA
8974;"06";SAN RAFAEL(OLIVENZA)
8975;"06";SAN RAFAEL DE OLIVENZA
8976;"04";ALBOX
8977;"31";PAMPLONA
8978;"31";PAMPLONA/IRUÑA
8979;"04";ARBOLEAS
8980;"41";EL MONTELLANO
8981;"01";CANDELEDA
8982;"28";TIELMES
8983;"28";CARRETERA DE BARAJAS
8992;"28";SAN AGUSTIN DE GUADALIX
8993;"28";PUENTE VALLECAS
8994;"04";BENAHADUX
8995;"04";RIOJA
8996;"04";GADOR
9012;"06";GARLITOS
9013;"10";FRESNEDOSO DE IBOR
9032;"45";VILLASECA DE LA SAGRA
9033;"46";SAGUNT/SAGUNTO
9034;"48";SESTAO
9035;"46";MISLATA
9036;"48";BASAURI
9037;"12";CASTELLON/CASTELLO
9038;"48";GETXO
9039;"48";BARAKALDO
9052;"29";ANTEQUERA
9053;"38";PUNTA DEL HIDALGO
9054;"29"; TORRE DEL MAR
9072;"21";ARACENA
9092;"06";"BAZANA; LA"
9093;"10";NAVATRASIERRA
9094;"10";POBLADO LLANO
9112;"10";CABEZUELA DEL VALLE
9132;"28";ENCINAR DE LOS REYES
9152;"45";CAMPO DE CRIPTANA
9153;"45";CANALES
9154;"45";ALMOROS
9155;"45";ALMOROX
9156;"45";SANTA CRUZ DE RETAMAR
9157;"45";ALZAZAR DE SAN JUAN
9192;"29";CARTAMA
9193;"29";CHAPARRAL (MIJAS)
9212;"26";LOGROÑO
9213;"46";BENIFAIO
9232;"41";"PUEBLA DE LOS INFANTES; LA"
9252;"10";NAVALVILLAR DE IBOR
9272;"38";"GALLETAS; LAS"
9293;"41";POLIGONO INDUSTRIAL EL GORDILLO
9295;"04";SORBAS
9297;"41";CONSTANTINA
9298;"04";GARRUCHA
9299;"04";CUEVAS DEL ALMANZORA
9300;"06";REINA
9301;"41";SAN IGNACIO DEL VAR
9302;"41";SAN IGNACIO DEL VIAR
9312;"14";HORNACHUELOS
9332;"11";RIO SAN PEDRO
9333;"04";TAVERNO
9334;"04";ALMANZORA
9335;"41";TOCINA
9336;"04";ZURUJENA
9337;"04";LUBRIN
9352;"11";ALCALA DE LOS GAZULES
9372;"03";ELX/ELCHE
9373;"04";TORRECARDENAS
9392;"41";MONTELLANO
9412;"45";YEPES
9413;"05";"RASO; EL"
9414;"21";NIEBLA
9415;"10";ELJAS
9432;"06";"MORERA; LA"
9172;"29";CHURRIANA
9292;"41";SAN JOSE DE PALMETE
9294;"04";"GALLARDOS; LOS"
9296;"04";ANTAS
9374;"04";NIJAR
1;"10";TRUJILLO
2;"06";VILLAFRANCO DEL GUADIANA
3;"06";BALBOA
4;"06";DON BENITO
5;"06";CASAS DE DON PEDRO
6;"06";NAVALVILLAR DE PELA
7;"06";TALAVERA LA REAL
8;"06";NOVELDA
9;"06";CASTUERA
10;"06";ACEUCHAL
11;"06";ACEDERA
12;"06";PUEBLONUEVO DEL GUADIANA
13;"06";BADAJOZ
14;"06";GUAREQA
15;"06";MEDELLMN
16;"06";"HABA; LA"
